Vpp (V);Vt (V) a 10 Hz ;Vt (V) a 100 Hz;Vt (V) a 1 KHz;Vt (V) a 10 KHz;Vt (V) a 100 KHz;Vt (V) a 1 MHz;Escala (V/d);
2.04;0.43;0.63;0.60;0.43;0.02;0.01;0.5;
4.04;1.25;1.34;1.28;1.54;0.24;0.003;1;
6.0;2.04;2.11;2.01;2.73;1.06;0.003;1;
8.0;2.82;2.79;2.68;3.91;1.61;0.002;2;
10.0;3.58;3.54;3.43;5.03;1.87;0.002;2;
12.0;4.34;4.24;4.13;6.24;1.96;0.002;2;
14.08;5.15;4.98;4.87;7.42;2.01;0.002;2;
16.0;5.87;5.53;5.42;8.32;2.04;0.002;5;
18.0;6.47;6.24;6.09;9.58;2.06;0.001;5;
20.0;7.18;6.97;6.85;10.83;2.07;0.001;5;
;;;;;;;;
