frecuencia,vpp,vpp_error
35.0,10.0,0.3
36.0,32.0,1.0
37.0,74.0,2.0
38.0,188.0,6.0
38.1,202.0,6.0
38.2,214.0,6.0
38.3,232.0,7.0
38.4,256.0,8.0
38.5,292.0,9.0
38.6,320.0,10.0
38.7,370.0,10.0
38.8,450.0,10.0
38.9,530.0,20.0
39.0,640.0,20.0
39.1,740.0,20.0
39.2,820.0,20.0
39.3,850.0,30.0
39.4,860.0,30.0
39.5,840.0,30.0
39.6,820.0,20.0
39.7,810.0,20.0
39.8,800.0,20.0
39.9,780.0,20.0
40.0,740.0,20.0
40.1,700.0,20.0
40.2,620.0,20.0
40.3,500.0,10.0
40.4,380.0,10.0
40.5,296.0,9.0
40.6,224.0,7.0
40.7,180.0,5.0
40.8,148.0,4.0
40.9,120.0,4.0
41.0,102.0,3.0
41.1,86.0,3.0
41.2,72.0,2.0
41.3,60.0,2.0
41.4,49.0,1.0
41.5,42.0,1.0
41.6,36.0,1.0
41.7,32.0,1.0
41.8,30.0,0.9
41.9,29.0,0.9
42.0,33.0,1.0
43.0,28.0,0.8
44.0,17.0,0.5
45.0,14.0,0.4
