Frecuencia (Khz);Vpp-Emisor (V);Vpp-Receptor (mV);Escala-receptor (mV)
35;7.12;10;50
36;7.12;32;50
37;7.12;74;50
38;7.12;188;50
38.1;7.12;202;50
38.2;7.12;214;50
38.3;7.12;232;50
38.4;7.12;256;50
38.5;7.12;292;100
38.6;7.12;324;100
38.7;7.12;372;100
38.8;7.12;448;100
38.9;7.12;528;100
39;7.12;640;200
39.1;7.12;736;200
39.2;7.12;816;200
39.3;7.12;848;200
39.4;7.12;856;200
39.5;7.12;840;200
39.6;7.12;816;200
39.7;7.12;808;200
39.8;7.12;800;200
39.9;7.12;784;200
40;7.12;744;200
40.1;7.12;704;200
40.2;7.12;616;200
40.3;7.12;496;200
40.4;7.12;384;200
40.5;7.12;296;200
40.6;7.12;224;100
40.7;7.12;180;100
40.8;7.12;148;100
40.9;7.12;120;50
41;7.12;102;20
41.1;7.12;86;50
41.2;7.12;72;50
41.3;7.12;60;50
41.4;7.12;49;20
41.5;7.12;42;20
41.6;7.12;36;20
41.7;7.12;32;20
41.8;7.12;30;20
41.9;7.12;29;20
42;7.12;33;10
43;7.12;28;10
44;7.12;17;10
45;7.12;14;10
