Frecuencia (Khz);delta t (microSeg);periodo (mS);periodo (microS);delta_total;2pi*delta_total;fase(rad)
36.4;3.8;0.027472527;27.47252747;3.8;23.87610417;0.869090192
36.6;6.8;0.027322404;27.32240437;6.8;42.72566009;1.563759159
36.8;9.8;0.027173913;27.17391304;9.8;61.57521601;2.265967949
37;12.8;0.027027027;27.02702703;12.8;80.42477193;2.975716561
37.2;15.6;0.02688172;26.88172043;15.6;98.01769079;3.646258097
37.4;18.4;0.026737968;26.73796791;18.4;115.6106097;4.323836801
37.6;21.2;0.026595745;26.59574468;21.2;133.2035285;5.008452672
37.8;24.4;0.026455026;26.45502646;24.4;153.3097215;5.795107473
38;1.6;0.026315789;26.31578947;27.91578947;175.4000783;6.665202974
38.2;1.8;0.02617801;26.17801047;27.97801047;175.7910243;6.715217129
38.6;7.6;0.025906736;25.90673575;33.50673575;210.5290298;8.126420549
39;10.4;0.025641026;25.64102564;36.04102564;226.4524428;8.831645268
39.4;3.6;0.025380711;25.38071066;54.36142132;341.5628837;13.45757762
39.8;4;0.025125628;25.12562814;54.25125628;340.8706964;13.56665372
40.2;11.8;0.024875622;24.87562189;61.55124378;386.7378706;15.5468624
40.6;18.8;0.024630542;24.63054187;68.06108374;427.6404014;17.3622003
41;24.2;0.024390244;24.3902439;72.9804878;458.5499287;18.80054708
41.4;26;0.024154589;24.15458937;74.30917874;466.8983401;19.32959128
41.8;27.4;0.023923445;23.92344498;75.24688995;472.7901534;19.76262841
42.2;29.8;0.023696682;23.69668246;77.19336493;485.0202163;20.46785313
